dataset,coarsening_method,coarsening_ratio,exp_setup,extra_nodes,cluster_node,hidden,num_layers1,num_layers2,epochs1,epochs2,batch_size,lr,best_test_loss,best_test_acc
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,16.790737628936768,0.16666666666666666
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,220.31870498657227,0.16666666666666666
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.8017793893814087,0.22727272727272727
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,8.616809368133545,0.2727272727272727
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,122.19036254882812,0.18181818181818182
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.8011378645896912,0.18181818181818182
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,1.8444430828094482,0.13636363636363635
ENZYMES,kron,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,23.768932342529297,0.22727272727272727

ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,6.01286836206913,0.5
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,81.7582915476764,0.0
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,605.2445815985091,1.0
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.8084799289703368,0.16666666666666666
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,4.353114175796509,0.16666666666666666
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,62.40214385986328,0.3333333333333333
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.7774837017059326,0.18181818181818182
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,3.7835461616516115,0.22727272727272727

ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.001,9.506002114812533,0.0
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.01,98.54606910069765,0.0
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,2,0.1,787.1452429199219,0.5
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.001,1.924497699737549,0.16666666666666666
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.01,4.90135612487793,0.5
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,16,0.1,48.47847290039063,0.16666666666666666
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.001,1.7770257711410522,0.22727272727272727
ENZYMES,variation_neighborhoods,0.1,Gc_train_2_Gs_infer,False,True,512,2,2,100,300,32,0.01,2.3668710708618166,0.18181818181818182
