dataset ,coarsening_method       ,coarsening_ratio ,experiment ,exp_setup           ,extra_nodes ,cluster_node ,community_used ,hidden ,runs ,num_layers ,batch_size ,lr     ,ave_acc                                      ,ave_time              ,top_10_acc                                   ,best_acc           ,top_10_loss                                      ,best_loss
cora    ,algebraic_JC            ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.79635 +/- 0.042322895694883636             ,0.006830441951751709  ,0.8274 +/- 0.0061188234163113                ,0.829              ,0.24092385371526084 +/- 0.007344805354627112     ,0.223457137743632
cora    ,algebraic_JC            ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.7866500000000001 +/- 0.021677811236377183  ,0.011816811561584473  ,0.8045 +/- 0.0038794329482541683             ,0.811              ,0.11068108777205148 +/- 0.005559697341344637     ,0.09447401762008667
cora    ,kron                    ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.7512 +/- 0.009532051195833988              ,0.007966160774230957  ,0.7585999999999998 +/- 0.004630334761116094  ,0.767              ,0.3335538566112518 +/- 0.008971825288004321      ,0.3182784716288249
cora    ,kron                    ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.779 +/- 0.036848337818685954               ,0.010508239269256592  ,0.8 +/- 0.0021447610589527236                ,0.804              ,0.12723677953084309 +/- 0.005139640175261365     ,0.112711767355601
cora    ,variation_edges         ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.70375 +/- 0.04330228054040572              ,0.008335864543914795  ,0.7366999999999999 +/- 0.012288612614937466  ,0.758              ,0.3517703473567963 +/- 0.020203208506020604      ,0.3255636692047119
cora    ,variation_edges         ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.7520499999999999 +/- 0.02541156232898718   ,0.012159359455108643  ,0.7734 +/- 0.006829348431585555              ,0.782              ,0.17112573266029357 +/- 0.004395400389511722     ,0.1604897379875183
cora    ,variation_cliques       ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.45425000000000004 +/- 0.07337020853180123  ,0.009121406078338622  ,0.4842000000000001 +/- 0.006720119046564583  ,0.499              ,0.5911147554715475 +/- 0.02697256624514527       ,0.5405409733454386
cora    ,variation_cliques       ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.4306 +/- 0.04637822765048271               ,0.01749962568283081   ,0.4713 +/- 0.012923234889144427              ,0.481              ,0.24893932001931324 +/- 0.009089374386290651     ,0.23194156374250138
cora    ,heavy_edge              ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.72665 +/- 0.0321282974961326               ,0.007094371318817139  ,0.7515000000000001 +/- 0.01246795893480566   ,0.77               ,0.3168069581190745 +/- 0.0205523807027769        ,0.2848440408706665
cora    ,heavy_edge              ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,  20 ,         2 ,       128 ,0.01   ,0.77375 +/- 0.033756295709097016             ,0.010084080696105956  ,0.8016000000000002 +/- 0.00960416576283437   ,0.813              ,0.13864850282669067 +/- 0.0041404602644848285    ,0.12866367101669313
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         1 ,0.0001 ,0.7840000000000001 +/- 0.006033241251599347  ,0.40130438804626467   ,0.784 +/- 0.006033241251599348               ,0.789              ,0.0027488177087571885 +/- 2.4853259500069244e-05 ,0.0027052874035305447
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         1 ,0.001  ,0.7864000000000001 +/- 0.00542586398650022   ,0.4427060127258301    ,0.7864000000000001 +/- 0.00542586398650022   ,0.793              ,0.0026753228505452475 +/- 2.073451814593826e-05  ,0.0026573941442701553
