dataset ,coarsening_method       ,coarsening_ratio ,exp_setup           ,extra_nodes ,cluster_node ,hidden ,num_layers1 ,num_layers2 ,epochs1 ,epochs2 ,batch_size ,lr     ,best_test_loss             ,best_test_acc
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01   ,       1.2642401456832886  ,0.5431034482758621
AIDS    ,algebraic_JC            ,             0.5 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.1    ,       0.5962518453598022  ,0.7931034482758621
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.001  ,      47.311263244628904   ,0.5
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.01   ,      87.16941162109374    ,1.0
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.1    ,     666.52275390625       ,1.0
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.001  ,       0.8019803730712738  ,0.75
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.01   ,      91.3024280667305     ,0.75
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.1    ,     407.60018730163574    ,1.0
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.001  ,       0.5020846119150519  ,0.9
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.01   ,       9.244975283741951   ,0.85
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.1    ,      97.63253545761108    ,0.8
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.001  ,       0.39050526916980743 ,0.8275862068965517
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01   ,       0.5120545849204063  ,0.6810344827586207
AIDS    ,algebraic_JC            ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.1    ,      52.1431941986084     ,0.75
AIDS    ,affinity_GS             ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.001  ,       6.276252241229638   ,1.0
AIDS    ,affinity_GS             ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.01   ,     103.84133740234375    ,1.0
AIDS    ,affinity_GS             ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.1    ,     341.9824013671875     ,1.0
AIDS    ,affinity_GS             ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.001  ,       2.9639317598193884  ,0.5
AIDS    ,affinity_GS             ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.01   ,       0.7873053421499208  ,1.0
AIDS    ,affinity_GS             ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.1    ,      20.72357365489006    ,0.5
